time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449150000	18.8509	16.9817	4.6992	2.20948	0.635365	radar	6.58789	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.677	17.2169	4.78901	2.24407	0.636378	lidar	1.84729	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5745	17.4209	4.77098	2.22983	0.549778	radar	6.06118	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3604	17.6127	4.83212	2.27717	0.568707	lidar	3.85801	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2243	17.8039	4.82297	2.28097	0.52037	radar	2.41536	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0923	17.9898	4.80534	2.29765	0.511258	lidar	0.905928	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9168	18.145	4.79042	2.34034	0.542041	radar	1.95883	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7854	18.2874	4.72136	2.36204	0.537897	lidar	1.09184	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6523	18.4685	4.7052	2.36929	0.510114	radar	6.68201	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4573	18.65	4.75298	2.39732	0.511793	lidar	0.491317	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2769	18.7913	4.73747	2.43198	0.527578	radar	1.74683	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1155	18.9278	4.69872	2.45655	0.526415	lidar	0.323003	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9482	19.0981	4.70649	2.46852	0.505383	radar	3.06253	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7311	19.2137	4.70902	2.50893	0.520705	lidar	2.69426	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.541	19.3672	4.72693	2.53258	0.521543	radar	3.24109	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3157	19.5284	4.79122	2.5583	0.520008	lidar	0.868588	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.093	19.6119	4.77278	2.60858	0.555521	radar	10.0661	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8875	19.7559	4.79663	2.62888	0.547495	lidar	0.774848	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.699	19.8802	4.76744	2.63463	0.504247	radar	3.23451	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4679	20.0333	4.83167	2.65263	0.495643	lidar	1.35853	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2563	20.1755	4.8543	2.66383	0.475772	radar	5.70002	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0676	20.3068	4.83889	2.67554	0.463873	lidar	1.86745	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8373	20.3897	4.83845	2.7124	0.484165	radar	2.1198	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6216	20.5088	4.8495	2.7292	0.476508	lidar	0.638686	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3847	20.5964	4.86838	2.7647	0.499255	radar	1.27564	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1384	20.6706	4.88387	2.79669	0.506076	lidar	0.71954	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9011	20.7424	4.89335	2.83152	0.52503	radar	0.376815	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6271	20.8064	4.94255	2.86598	0.532419	lidar	1.71842	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3783	20.838	4.9513	2.91812	0.579496	radar	2.43602	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1326	20.8793	4.94981	2.95089	0.583357	lidar	0.165653	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9003	20.9378	4.94191	2.97274	0.57458	radar	1.7621	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7012	20.9813	4.88125	2.99526	0.569789	lidar	1.94178	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4479	21.0221	4.90547	3.02344	0.571647	radar	2.56617	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2016	21.0594	4.91518	3.04808	0.567356	lidar	0.140683	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9625	21.0793	4.91279	3.0792	0.575497	radar	0.964024	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7203	21.05	4.89063	3.12254	0.591044	lidar	1.91956	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4728	21.0367	4.89085	-3.12514	0.598132	radar	1.08801	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2576	21.0299	4.84805	-3.09628	0.598261	lidar	0.698856	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0029	20.9915	4.86139	-3.05675	0.608861	radar	4.14988	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7934	20.9531	4.80965	-3.02104	0.615867	lidar	0.602499	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5459	20.9515	4.79764	-3.01448	0.570491	radar	5.56427	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2651	20.9789	4.87345	-3.01013	0.542805	lidar	3.3821	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0265	20.9603	4.86841	-2.9908	0.532189	radar	1.02296	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83348	20.9205	4.79815	-2.96205	0.536378	lidar	1.67387	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.60072	20.9111	4.76249	-2.96219	0.487949	radar	2.38498	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.40813	20.8585	4.70088	-2.93243	0.495136	lidar	1.01062	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.18777	20.8167	4.68948	-2.91017	0.493726	radar	1.47315	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.89426	20.7855	4.78763	-2.9004	0.475768	lidar	2.2823	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.68029	20.7061	4.76598	-2.86611	0.489564	radar	4.41553	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.40351	20.6226	4.83926	-2.84023	0.48943	lidar	2.79537	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.17524	20.5426	4.8429	-2.81153	0.49686	radar	0.0864088	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.93255	20.4627	4.86455	-2.78883	0.494127	lidar	0.133392	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71653	20.3766	4.86825	-2.75642	0.512477	radar	3.47157	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.40708	20.3188	4.98537	-2.75582	0.483494	lidar	3.501	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.17539	20.2223	4.98259	-2.73383	0.478218	radar	0.226462	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.91036	20.1397	5.03229	-2.72242	0.463971	lidar	0.69275	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.6854	20.0481	5.01454	-2.70634	0.452368	radar	0.503018	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.43714	19.9568	5.04123	-2.69339	0.441646	lidar	0.335729	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.22058	19.8632	5.02199	-2.67608	0.437091	radar	2.86309	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.95725	19.7698	5.07156	-2.6689	0.420661	lidar	0.80454	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.72728	19.6245	5.11461	-2.63146	0.449371	radar	1.91815	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.55123	19.5016	5.04863	-2.60188	0.458138	lidar	1.4065	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
